The distance from 0 to each vertex is:
  v    dist 0->v
----   ---------
  1         79
  2         45
  3         82
  4         52
  5         50
  6         61
  7         82
  8         76
  9         64
 10         32
 11         53
 12         70
 13         95
 14         64
 15         67
 16         25
 17         51
 18         60
 19         72
 20         55
 21         70
 22         57
 23         71
 24         61
 25         57
 26         48
 27         62
 28         56
 29         66
 30         72
 31         63
 32         52
 33         54
 34         42
 35         53
 36         37
 37         44
 38         35
 39         58
 40         83
 41         66
 42         49
 43         68
 44         63
 45         65
 46         53
 47         69
 48         78
 49         75
 50         69
 51         50
 52         46
 53         52
 54         37
 55         88
 56         57
 57         85
 58         61
 59         72
 60         52
 61         35
 62         70
 63         24
 64         69
 65         72
 66         40
 67         67
 68         65
 69         74
 70         62
 71         72
 72         84
 73         69
 74         68
 75         51
 76          6
 77         58
 78         48
 79         43
 80         47
 81         79
 82         72
 83         70
 84         75
 85         85
 86         47
 87         69
 88        104
 89         65
 90         94
 91         48
 92         47
 93         46
 94         55
 95         67
 96         56
 97         49
 98         91
 99         73

 65:    0 38 80 26 5 65 
 66:    0 66 
 67:    0 66 89 67 
 68:    0 76 63 68 
 69:    0 76 69 
 70:    0 76 63 36 2 78 4 70 
 71:    0 38 80 26 9 71 
 72:    0 76 63 16 52 32 56 8 72 
 73:    0 66 75 18 73 
 74:    0 76 63 16 52 32 74 
 75:    0 66 75 
 76:    0 76 
 77:    0 76 63 16 52 32 77 
 78:    0 76 63 36 2 78 
 79:    0 76 63 36 79 
 80:    0 38 80 
 81:    0 76 63 16 10 37 22 81 
 82:    0 76 63 16 52 82 
 83:    0 76 63 16 52 32 77 83 
 84:    0 76 63 16 52 32 84 
 85:    0 76 63 36 42 64 85 
 86:    0 76 63 36 2 86 
 87:    0 61 97 87 
 88:    0 76 63 16 52 32 56 88 
 89:    0 66 89 
 90:    0 38 80 26 5 6 48 90 
 91:    0 66 93 91 
 92:    0 66 92 
 93:    0 66 93 
 94:    0 76 63 16 52 94 
 95:    0 76 95 
 96:    0 76 63 16 10 37 53 96 
 97:    0 61 97 
 98:    0 38 34 28 44 98 
 99:    0 38 47 99 
