The shortest path from 0 to each vertex is:
  v     Path 0->v
----    ---------
  1:    0 278 147 1 
  2:    0 286 316 219 19 204 356 205 2 
  3:    0 286 316 31 3 
  4:    0 278 379 4 
  5:    0 278 5 
  6:    0 76 359 341 70 6 
  7:    0 278 247 7 
  8:    0 278 126 281 180 8 
  9:    0 278 126 281 9 
 10:    0 278 247 107 10 
 11:    0 76 11 
 12:    0 286 316 219 53 172 12 
 13:    0 278 279 213 214 13 
 14:    0 286 316 219 19 204 356 205 230 14 
 15:    0 286 316 219 15 
 16:    0 278 379 114 50 16 
 17:    0 76 337 226 47 17 
 18:    0 278 247 206 18 
 19:    0 286 316 219 19 
 20:    0 278 247 192 20 
 21:    0 286 316 219 19 204 356 205 2 21 
 22:    0 278 279 213 22 
 23:    0 278 279 374 23 
 24:    0 76 337 368 370 24 
 25:    0 76 11 312 25 
 26:    0 278 247 192 20 26 
 27:    0 278 134 27 
 28:    0 76 359 79 308 28 
 29:    0 234 306 29 
 30:    0 76 373 56 165 30 
 31:    0 286 316 31 
 32:    0 76 337 226 32 
 33:    0 76 373 304 77 33 
 34:    0 76 337 226 47 38 188 34 
 35:    0 278 35 
 36:    0 278 279 111 339 150 36 
 37:    0 76 359 79 37 
 38:    0 76 337 226 47 38 
 39:    0 76 359 341 381 39 
 40:    0 76 359 341 70 89 40 
 41:    0 278 379 41 
 42:    0 278 247 155 42 
 43:    0 278 126 281 43 
 44:    0 211 121 232 44 
 45:    0 76 373 178 242 45 
 46:    0 286 316 219 19 204 356 205 46 
 47:    0 76 337 226 47 
 48:    0 278 279 213 214 215 377 48 
 49:    0 278 126 281 180 310 68 49 
 50:    0 278 379 114 50 
 51:    0 76 373 153 384 221 51 
 52:    0 76 337 309 52 
 53:    0 286 316 219 53 
 54:    0 76 359 341 70 54 
 55:    0 76 337 226 47 55 
 56:    0 76 373 56 
 57:    0 286 316 219 53 354 57 
 58:    0 76 373 153 384 221 58 
 59:    0 211 175 195 351 303 59 
 60:    0 278 247 192 20 60 
 61:    0 76 337 226 61 
 62:    0 76 337 226 47 38 62 
 63:    0 286 316 219 202 139 314 118 63 
 64:    0 286 316 219 64 
 65:    0 278 126 281 180 65 
 66:    0 286 66 
 67:    0 278 247 107 388 67 
 68:    0 278 126 281 180 310 68 
 69:    0 211 69 
 70:    0 76 359 341 70 
 71:    0 138 290 71 
 72:    0 286 72 
 73:    0 278 126 281 180 310 68 73 
 74:    0 76 337 277 74 
 75:    0 278 279 213 214 75 
 76:    0 76 
 77:    0 76 373 304 77 
 78:    0 76 337 226 32 78 
 79:    0 76 359 79 
 80:    0 278 134 80 
 81:    0 278 126 281 81 
 82:    0 76 337 226 82 
 83:    0 278 247 107 388 67 83 
 84:    0 76 337 309 84 
 85:    0 76 373 153 384 305 85 
 86:    0 278 317 391 86 
 87:    0 76 337 226 32 220 87 
 88:    0 278 247 107 88 
 89:    0 76 359 341 70 89 
 90:    0 286 345 189 90 
 91:    0 286 136 120 91 
 92:    0 286 316 219 202 139 314 118 92 
 93:    0 286 316 219 19 204 93 
 94:    0 76 359 341 70 89 94 
 95:    0 278 95 
 96:    0 138 290 158 193 96 
 97:    0 278 5 97 
 98:    0 76 337 226 47 344 268 98 
 99:    0 76 359 79 308 280 99 
100:    0 278 247 100 
101:    0 76 359 341 70 89 94 101 
102:    0 278 126 281 180 102 
103:    0 76 359 103 
104:    0 76 11 312 104 
105:    0 76 359 105 
106:    0 76 11 312 25 106 
107:    0 278 247 107 
108:    0 76 359 341 108 
109:    0 286 316 219 19 204 356 205 300 109 
110:    0 278 134 298 110 
111:    0 278 279 111 
112:    0 76 359 79 308 28 112 
113:    0 286 316 219 202 139 314 118 92 113 
114:    0 278 379 114 
115:    0 278 126 281 115 
116:    0 211 183 116 
117:    0 76 373 304 117 
118:    0 286 316 219 202 139 314 118 
119:    0 286 66 367 141 119 
120:    0 286 136 120 
121:    0 211 121 
122:    0 278 126 281 9 122 
123:    0 286 316 219 19 204 123 
124:    0 278 126 281 180 310 68 124 
125:    0 278 247 155 42 125 
126:    0 278 126 
127:    0 278 279 213 272 229 127 
128:    0 76 359 341 381 128 
129:    0 211 175 129 
130:    0 278 247 107 388 67 313 130 
131:    0 278 126 281 180 102 231 131 
132:    0 278 279 213 214 215 265 132 
133:    0 76 337 309 133 
134:    0 278 134 
135:    0 278 379 114 135 
136:    0 286 136 
137:    0 278 247 206 137 
138:    0 138 
139:    0 286 316 219 202 139 
140:    0 286 316 219 202 139 140 
141:    0 286 66 367 141 
142:    0 76 359 341 70 142 
143:    0 278 126 281 81 143 
144:    0 286 316 219 19 204 144 
145:    0 286 145 
146:    0 76 337 226 47 38 146 
147:    0 278 147 
148:    0 278 379 114 50 148 
149:    0 76 337 226 32 220 149 
150:    0 278 279 111 339 150 
151:    0 278 126 281 9 151 
152:    0 278 247 155 42 125 251 152 
153:    0 76 373 153 
154:    0 278 247 254 154 
155:    0 278 247 155 
156:    0 278 134 298 387 156 
157:    0 286 316 219 202 139 140 157 
158:    0 138 290 158 
159:    0 76 373 153 259 208 159 
160:    0 76 359 79 160 
161:    0 76 337 226 47 173 161 
162:    0 76 373 304 77 162 
163:    0 286 316 219 202 139 163 
164:    0 76 11 312 164 
165:    0 76 373 56 165 
166:    0 76 373 153 384 221 58 166 
167:    0 278 279 213 22 167 
168:    0 278 134 298 110 168 
169:    0 286 316 219 169 
170:    0 278 379 223 170 
171:    0 76 373 56 165 30 171 
172:    0 286 316 219 53 172 
173:    0 76 337 226 47 173 
174:    0 76 373 304 174 
175:    0 211 175 
176:    0 76 337 226 47 344 268 176 
177:    0 286 316 219 169 177 
178:    0 76 373 178 
179:    0 286 316 219 169 331 179 
180:    0 278 126 281 180 
181:    0 278 134 298 342 181 
182:    0 138 182 
183:    0 211 183 
184:    0 234 306 184 
185:    0 76 373 153 259 185 
186:    0 211 186 
187:    0 286 316 219 202 139 140 157 187 
188:    0 76 337 226 47 38 188 
189:    0 286 345 189 
190:    0 211 121 232 190 
191:    0 286 316 191 
192:    0 278 247 192 
193:    0 138 290 158 193 
194:    0 76 337 226 61 194 
195:    0 211 175 195 
196:    0 278 279 213 214 13 196 
197:    0 286 316 219 19 197 
198:    0 278 379 114 135 198 
199:    0 278 279 111 199 
200:    0 278 5 97 200 
201:    0 76 359 79 308 28 201 
202:    0 286 316 219 202 
203:    0 286 316 31 378 266 273 203 
204:    0 286 316 219 19 204 
205:    0 286 316 219 19 204 356 205 
206:    0 278 247 206 
207:    0 286 316 219 19 204 356 205 300 207 
208:    0 76 373 153 259 208 
209:    0 76 359 79 308 209 
210:    0 278 126 281 9 151 210 
211:    0 211 
212:    0 211 183 212 
213:    0 278 279 213 
214:    0 278 279 213 214 
215:    0 278 279 213 214 215 
216:    0 278 126 281 115 315 216 
217:    0 286 66 217 
218:    0 76 359 341 70 89 218 
219:    0 286 316 219 
220:    0 76 337 226 32 220 
221:    0 76 373 153 384 221 
222:    0 76 337 226 47 173 222 
223:    0 278 379 223 
224:    0 76 373 153 259 224 
225:    0 278 5 225 
226:    0 76 337 226 
227:    0 278 279 213 214 227 
228:    0 278 126 281 115 228 
229:    0 278 279 213 272 229 
230:    0 286 316 219 19 204 356 205 230 
231:    0 278 126 281 180 102 231 
232:    0 211 121 232 
233:    0 76 373 233 
234:    0 234 
235:    0 76 11 399 235 
236:    0 76 359 79 236 
237:    0 286 136 237 
238:    0 76 11 365 238 
239:    0 76 373 56 165 239 
240:    0 286 316 219 19 204 144 240 
241:    0 76 359 79 308 241 
242:    0 76 373 178 242 
243:    0 278 279 213 214 215 377 48 389 243 
244:    0 76 337 226 32 78 244 
245:    0 278 279 245 
246:    0 286 316 219 19 197 246 
247:    0 278 247 
248:    0 286 316 219 53 248 
249:    0 286 316 219 169 177 249 
250:    0 76 373 178 242 45 250 
251:    0 278 247 155 42 125 251 
252:    0 278 333 252 
253:    0 76 337 368 370 24 253 
254:    0 278 247 254 
255:    0 278 379 255 
256:    0 286 316 219 202 139 314 256 
257:    0 76 337 226 47 38 146 257 
258:    0 286 316 219 53 354 258 
259:    0 76 373 153 259 
260:    0 278 126 281 180 102 260 
261:    0 211 175 261 
262:    0 278 126 281 180 102 262 
263:    0 286 316 219 53 354 263 
264:    0 278 126 281 9 358 264 
265:    0 278 279 213 214 215 265 
266:    0 286 316 31 378 266 
267:    0 76 337 226 47 38 267 
268:    0 76 337 226 47 344 268 
269:    0 76 373 178 242 269 
270:    0 76 337 226 47 270 
271:    0 286 316 219 202 139 163 271 
272:    0 278 279 213 272 
273:    0 286 316 31 378 266 273 
274:    0 76 373 153 259 185 274 
275:    0 278 247 206 275 
276:    0 278 247 107 388 276 
277:    0 76 337 277 
278:    0 278 
279:    0 278 279 
280:    0 76 359 79 308 280 
281:    0 278 126 281 
282:    0 76 11 312 164 282 
283:    0 286 316 219 19 204 283 
284:    0 76 337 309 133 284 
285:    0 278 379 223 285 
286:    0 286 
287:    0 278 126 281 180 394 287 
288:    0 278 279 213 272 288 
289:    0 76 11 312 25 289 
290:    0 138 290 
291:    0 278 379 223 291 
292:    0 286 316 219 202 139 140 292 
293:    0 286 316 219 169 331 293 
294:    0 278 126 281 180 310 68 124 294 
295:    0 286 316 219 202 295 
296:    0 286 136 120 296 
297:    0 278 279 111 339 297 
298:    0 278 134 298 
299:    0 76 337 368 299 
300:    0 286 316 219 19 204 356 205 300 
301:    0 278 379 223 301 
302:    0 286 316 219 19 204 356 205 300 109 302 
303:    0 211 175 195 351 303 
304:    0 76 373 304 
305:    0 76 373 153 384 305 
306:    0 234 306 
307:    0 286 136 120 91 307 
308:    0 76 359 79 308 
309:    0 76 337 309 
310:    0 278 126 281 180 310 
311:    0 278 134 298 387 311 
312:    0 76 11 312 
313:    0 278 247 107 388 67 313 
314:    0 286 316 219 202 139 314 
315:    0 278 126 281 115 315 
316:    0 286 316 
317:    0 278 317 
318:    0 278 333 252 318 
319:    0 286 316 219 53 319 
320:    0 278 5 320 
321:    0 76 373 321 
322:    0 76 337 226 47 38 62 322 
323:    0 286 316 219 19 204 144 240 323 
324:    0 278 279 213 214 215 324 
325:    0 76 325 
326:    0 286 316 219 19 197 326 
327:    0 278 126 327 
328:    0 278 126 281 9 358 328 
329:    0 286 316 219 169 329 
330:    0 76 337 226 47 330 
331:    0 286 316 219 169 331 
332:    0 286 316 191 332 
333:    0 278 333 
334:    0 76 337 277 334 
335:    0 76 359 341 70 54 335 
336:    0 286 316 219 202 295 336 
337:    0 76 337 
338:    0 76 373 304 77 338 
339:    0 278 279 111 339 
340:    0 76 337 368 299 340 
