The shortest path from 0 to each vertex is:
  v     Path 0->v
----    ---------
  1:    0 821 2611 1813 1 
  2:    0 821 3365 3922 2 
  3:    0 2539 2121 1075 843 3 
  4:    0 1954 1450 4345 4 
  5:    0 3533 710 826 5 
  6:    0 2714 2007 6 
  7:    0 3533 321 1011 7 
  8:    0 821 3365 2587 4904 8 
  9:    0 2220 3141 3192 9 
 10:    0 3533 3597 4702 3740 2634 10 
 11:    0 3533 3647 1503 3870 11 
 12:    0 3533 3615 535 12 
 13:    0 2539 2044 678 13 
 14:    0 2605 4381 14 
 15:    0 2539 2121 1075 15 
 16:    0 2605 1883 2716 16 
 17:    0 3533 3647 2156 4575 17 
 18:    0 2539 4982 2198 18 
 19:    0 2539 4982 2198 19 
 20:    0 1954 3952 20 
 21:    0 2539 615 4535 21 
 22:    0 3533 766 1076 22 
 23:    0 2539 829 3360 23 
 24:    0 2539 615 4456 24 
 25:    0 2539 63 1943 709 25 
 26:    0 286 4474 701 1616 26 
 27:    0 2539 615 4456 1635 2960 27 
 28:    0 2539 3913 2242 3658 28 
 29:    0 2539 63 2085 29 
 30:    0 821 3365 2587 52 30 
 31:    0 1954 1450 2353 255 31 
 32:    0 2605 4381 979 32 
 33:    0 2539 33 
 34:    0 1954 1450 1788 34 
 35:    0 286 4474 35 
 36:    0 3533 3597 1748 652 36 
 37:    0 2539 615 1423 2973 37 
 38:    0 2539 1308 3948 4844 38 
 39:    0 2220 3141 59 39 
 40:    0 2605 482 940 40 
 41:    0 286 363 41 
 42:    0 2605 482 3491 42 
 43:    0 3533 3597 1607 4631 43 
 44:    0 2539 829 3360 44 
 45:    0 2539 829 1253 3250 45 
 46:    0 2539 3913 3649 856 46 
 47:    0 2539 615 4456 47 
 48:    0 2539 3913 1086 48 
 49:    0 1954 3952 3065 49 
 50:    0 3533 3647 110 1961 50 
 51:    0 3533 4753 2336 2708 51 
 52:    0 821 3365 2587 52 
 53:    0 278 4218 53 
 54:    0 2539 2044 2263 54 
 55:    0 3533 3615 535 55 
 56:    0 1954 3952 841 3785 820 56 
 57:    0 3533 3597 2727 436 57 
 58:    0 3533 766 1076 58 
 59:    0 2220 3141 59 
 60:    0 1954 1450 60 
 61:    0 2539 63 1538 797 61 
 62:    0 3533 3647 110 3348 62 
 63:    0 2539 63 
 64:    0 1954 1450 60 3087 64 
 65:    0 2605 482 160 65 
 66:    0 821 2347 988 66 
 67:    0 1954 2683 67 
 68:    0 2539 2447 3339 68 
 69:    0 2539 2121 3951 69 
 70:    0 2539 2121 447 70 
 71:    0 2539 2121 4741 3474 2849 71 
 72:    0 4712 72 
 73:    0 2539 615 4535 73 
 74:    0 2539 2447 2754 157 74 
 75:    0 2539 1308 1035 2806 75 
 76:    0 2539 615 4535 4243 76 
